Point,Fokontany,Commune,District,Region
Ambajoana 11 B,Morafeno,Betsiaka,Ambilobe,Diana
Ambakabe 10 B,Antavimalahay,Masianaka,Vangaindrano,Atsimo Atsinanana
Ambakaka 10 A,Tanandava,Ankalalobe,Belo Sur Tsiribihina,Menabe
Ambakaka 11 A,Benonoka II,Ivahona,Betroka,Anosy
Ambakaka 12 A,Tsianofana,Tsianofana,Vangaindrano,Atsimo Atsinanana
Ambakaka 13 B,Ambakaka Centre,Ankiroroky,Belo Sur Tsiribihina,Menabe
Ambakaka 14 B,Beronono,Beronono,Mahabo,Menabe
Ambakaka 15 B,Antsakoamalangy,Tsikolaky,Bekily,Androy
Ambakaka 16 B,Antsifitsy,Tranoroa,Beloha,Androy
Ambakaka 17 B,Ankotrofotsy,Ankotrofotsy,Miandrivazo,Menabe
Ambakaka 18 C,Besakoa,Manambina,Miandrivazo,Menabe
Ambakaka 19 C,Menarandra,Ambatomivary,Betroka,Anosy
Ambakaka 20 C,Mahavano,Mazavasoa,Mahabo,Menabe
Ambakaka 21 F,Ambakaka Centre,Ankiroroky,Belo Sur Tsiribihina,Menabe
Ambakaka 22 F,Ambakaka,Mahaly,Amboasary-Atsimo,Anosy
Ambakamisina 10 A,Fierenana Ambohibe,Didy,Ambatondrazaka,Alaotra Mangoro
Ambakapotsy 10 B,Matielona,Antohobe,Betafo,Vakinankaratra
Ambakiloha 10 A,Tanambao Besakay,Tanambao Besakay,Ambatondrazaka,Alaotra Mangoro
Ambakinaja 10 C,Taindambo,Taindambo,Lalangina,Haute Matsiatra
Ambakirano 10 A,Antanamitarana,Dzamandzar,Nosy-Be,Diana
Ambakirano 11 C,Ambanja,Antsaidoha Bebao,Maintirano,Melaky
Ambakirano 12 C,Ambakirano,Analamaho,Sambava,Sava
Ambakirano 13 D,Ambakirano,Maevatanana,Ambanja,Diana
Ambakirano 14 D,Ambakirano,Ambarakaraka,Ambilobe,Diana
Ambakirano 15 D,Ambanja,Ampondra,Vohemar,Sava
Ambakirano 16 F,Ambakoana,Marovato,Ambanja,Diana
Ambakireny 10 A,Analaroa,Analaroa,Anjozorobe,Analamanga
Ambakireny 11 E,Beankana,Andriba,Maevatanana,Betsiboka
Ambakireny 12 V,Ambakireny,Ambakireny,Tsaratanana,Betsiboka
Ambakivahikely 10 D,Ambahivahikely,Anketrakabe,Antsiranana II,Diana
Ambakivoho 10 B,Antevamena,Analaiva,Morondava,Menabe
Ambakoa 10 A,Ampasimbola,Betsizaraina,Mahanoro,Atsinanana
Ambakoa 11 B,Ambakoa,Ambolodia Sud,Besalampy,Melaky
Ambakoa 12 B,Antrobika,Satrokala,Ihosy,Ihorombe
Ambakoa 13 C,Mahamany,Andriandampy,Betroka,Anosy
Ambakoa 14 C,Andriamandevy,Jangany,Betroka,Anosy
Ambakoa Amban 10 C,Andriamandevy,Jangany,Betroka,Anosy
Ambakoa Ambinany 10 B,Mahamany,Andriandampy,Betroka,Anosy
Ambakoana 10 A,Ambodivandrozana,Antaretra,Mananjary,Vatovavy Fitovinany
Ambakoana 11 A,Ambalavero II,Soavina,Nosy-Varika,Vatovavy Fitovinany
Ambakoana 12 B,Fenoarivo,Fenoarivo,Ambatofinandrahana,Amoron I Mania
Ambakoana 13 B,Ambohitromby,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Ambakoana 14 B,Amboarabe,Didy,Ambatondrazaka,Alaotra Mangoro
Ambakoana 15 B,Mosorobe,Tanambao Daoud,Sambava,Sava
Ambakoana 16 C,Manandrambato,Iarintsena,Ambalavao,Haute Matsiatra
Ambakoana 17 C,Ambakoana,Vohilava,Mananjary,Vatovavy Fitovinany
Ambakoana 18 D,Ankadilanana,Ilaka Centre,Ambositra,Amoron I Mania
Ambakoana 19 D,Antanamiketraka,Antsirabe Nord,Vohemar,Sava
Ambakoana 20 B,Ambakoana,Antsiatsiaka,Fenerive Est,Analanjirofo
Ambakoana 21 C,Marofototra,Marofototra,Mananjary,Vatovavy Fitovinany
Ambakoana 22 C,Analamarina,Ambodinonoka,Mananjary,Vatovavy Fitovinany
Ambakoana Nord 10 B,Amboarabe,Didy,Ambatondrazaka,Alaotra Mangoro
Ambakobe 10 B,Ambakobe,Ambakobe,Nosy-Varika,Vatovavy Fitovinany
Ambakobe 11 D,Tanambao I,Vohitrandriana,Nosy-Varika,Vatovavy Fitovinany
Ambakohasina 10 D,Betatao,Betatao,Anjozorobe,Analamanga
Ambakoka 10 A,Betampo Nord,Analampasina,Ifanadiana,Vatovavy Fitovinany
Ambakolombo 10 B,Mahavelo,Mahavelo,Vondrozo,Atsimo Atsinanana
Ambakovelona 10 D,Maintimbato,Andara,Nosy-Varika,Vatovavy Fitovinany
Ambaky 10 E,Ambaky,Ambohisoa,Mandritsara,Sofia
Ambala 10 A,Ankadilanana,Mahazoarivo,Fandriana,Amoron I Mania
Ambala 11 B,Marolaka,Ankavandra,Miandrivazo,Menabe
Ambala 12 B,Ambohipinony,Tsarazaza,Fandriana,Amoron I Mania
Ambala 13 B,Soanierana Volazato,Fahizay,Ambositra,Amoron I Mania
Ambala 14 B,Ambohimananarivo,Miarinavaratra,Fandriana,Amoron I Mania
Ambala 15 C,Alakamisy Nord,Andolofotsy,Miarinarivo,Itasy
Ambala 16 C,Ambatolahy,Ambohinamboarina,Ambohimahasoa,Haute Matsiatra
Ambala 17 C,Lavahiky,Fandriana,Fandriana,Amoron I Mania
Ambala 18 A,Nanandrana,Alakamisy Ambohimahazo,Fandriana,Amoron I Mania
Ambalabadika 10 B,Ambereny,Masoarivo,Antsalova,Melaky
Ambalabako 10 A,Bekatsaka,Antanandava,Ambatondrazaka,Alaotra Mangoro
Ambalabako 11 B,Ambavasambo,Marotsipoy,Anjozorobe,Analamanga
Ambalabako 12 B,Ambalavary,Beanana,Amparafaravola,Alaotra Mangoro
Ambalabako 13 C,Ambohitsoa,Beronono,Anjozorobe,Analamanga
Ambalabako 14 C,Mangalaza,Feramanga Nord,Ambatondrazaka,Alaotra Mangoro
Ambalabako 15 F,Ambalabako,Ambatondrazaka Suburbaine,Ambatondrazaka,Alaotra Mangoro
Ambalabambana 10 B,Soamiafara,Ankisabe,Soavinandriana,Itasy
Ambalabanty 10 B,Bedamba,Bemarivo,Ambatomainty,Melaky
Ambalabanty 11 C,Onara,Bebaboky Sud,Maintirano,Melaky
Ambalabanty 12 C,Ambodimanga I,Ambanjabe,Port-Berge (Boriziny-Vaovao),Sofia
Ambalabanty 13 F,Tsinjorano,Ankijabe,Ambato Boeni,Boeny
Ambalabanty 14 H,Ambalabanty,Mahadrodroka,Analalava,Sofia
Ambalabao 10 A,Tsararano,Maria,Maevatanana,Betsiboka
Ambalabao 11 B,Anketrabe,Berevo/ranobe,Maintirano,Melaky
Ambalabao 12 B,Makadany,Ankasakasa Tsibiray,Besalampy,Melaky
Ambalabao 13 B,Antsingilitoka,Andramy,Morafenobe,Melaky
Ambalabao 14 B,Soarano,Marovoay Sud,Besalampy,Melaky
Ambalabao 15 B,Ambohitromby,Andranomamy,Ambato Boeni,Boeny
Ambalabao 16 B,Marovato,Ankaramy,Analalava,Sofia
Ambalabao 17 C,Mahabe,Mahabe,Besalampy,Melaky
Ambalabao 18 C,Ambalabao,Bekapaika,Tsaratanana,Betsiboka
Ambalabao 19 C,Ambalabao,Ankaramy,Analalava,Sofia
Ambalabararata 10 B,Ankaditapaka I,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava
Ambalabararata 11 B,Ambalabararata,Tamponala,Soavinandriana,Itasy
Ambalabary 10 A,Tsaramandroso,Ambohitrarivo,Amparafaravola,Alaotra Mangoro
Ambalabato 10 D,Iapombo,Ambohimandroso,Farafangana,Atsimo Atsinanana
Ambalabe 10 A,Marofototra,Maevatanana II,Maevatanana,Betsiboka
Ambalabe 10 V,Ambalabe Befanjava,Ambalabe Befanjava,Mahajanga II,Boeny
Ambalabe 11 A,Tainakanga,Iakora,Iakora,Ihorombe
Ambalabe 11 V,Mandrosoa,Soamahamanina,Miarinarivo,Itasy
Ambalabe 12 A,Antanimbary,Antanimbary,Maevatanana,Betsiboka
Ambalabe 12 V,Ankorona,Andramasina,Andramasina,Analamanga
Ambalabe 13 A,Mandiamaiva,Sarobaratra,Tsaratanana,Betsiboka
Ambalabe 13 V,Ambalabe Ouest,Antsohihy,Antsohihy,Sofia
Ambalabe 14 A,Soanierana,Mahasoabe,Vohibato,Haute Matsiatra
Ambalabe 15 A,Vohitsidy,Vohimary,Vondrozo,Atsimo Atsinanana
Ambalabe 16 A,Amboazokibo,Ampasimalemy,Vangaindrano,Atsimo Atsinanana
Ambalabe 17 A,Vohitsoa,Tsianofana,Vangaindrano,Atsimo Atsinanana
Ambalabe 18 A,Mandritsara,Matanga,Vangaindrano,Atsimo Atsinanana
Ambalabe 19 A,Ambalabe,Maitsokely,Andilamena,Alaotra Mangoro
Ambalabe 20 A,Ambohimalaza,Andonabe Sud,Marolambo,Atsinanana
Ambalabe 21 A,Manjakatsiahoatra,Ilafy,Ambatondrazaka,Alaotra Mangoro
Ambalabe 22 A,Ambalaben'analalava,Tsaratanana,Mandritsara,Sofia
Ambalabe 23 A,Fierenana,Lohariandava,Brickaville,Atsinanana
Ambalabe 24 A,Antilongo,Analila,Bealanana,Sofia
Ambalabe 25 A,Andranoroa,Doany,Andapa,Sava
Ambalabe 26 B,Mokotibe,Soahany,Antsalova,Melaky
Ambalabe 27 B,Tanambao Morarano,Ankalalobe,Belo Sur Tsiribihina,Menabe
Ambalabe 28 B,Ambahobe,Marerano,Beroroha,Atsimo Andrefana
Ambalabe 29 B,Ankaboka,Manambina,Miandrivazo,Menabe
Ambalabe 30 B,Ambalabe Avaratra,Ambatosola,Bekily,Androy
Ambalabe 31 B,Amparihy Bara,Vasiana,Mandoto,Vakinankaratra
Ambalabe 32 B,Soanafindra,Amborompotsy,Ambatofinandrahana,Amoron I Mania
Ambalabe 33 B,Ivozona,Mangidy,Ikalamavony,Haute Matsiatra
Ambalabe 34 B,Tetivato,Dondona,Soavinandriana,Itasy
Ambalabe 35 B,Ambalamanandray,Talata Vohimena,Manandriana,Amoron I Mania
Ambalabe 36 B,Fenoarivo,Ambondrona,Isandra,Haute Matsiatra
Ambalabe 37 B,Miarinarivo,Miarinarivo,Ambalavao,Haute Matsiatra
Ambalabe 38 B,Ambalafeno,Sandrandahy,Fandriana,Amoron I Mania
Ambalabe 39 B,Ambalabe,Tsaratanana,Tsaratanana,Betsiboka
Ambalabe 40 B,Diankazo,Antsahafilo,Ambohidratrimo,Analamanga
Ambalabe 41 B,Besofina,Betsimisotra,Fandriana,Amoron I Mania
Ambalabe 42 B,Ambalabe,Sahalanona,Ikongo,Vatovavy Fitovinany
Ambalabe 43 B,Ambalabe,Ambohigogo,Farafangana,Atsimo Atsinanana
Ambalabe 44 B,Iabomary,Ampasimalemy,Vangaindrano,Atsimo Atsinanana
Ambalabe 45 B,Androihavitra,Ambodihazoambo,Mampikony,Sofia
Ambalabe 46 B,Ambalabe,Sakoamadinika,Tsaratanana,Betsiboka
Ambalabe 47 B,Angoja,Ambatosoratra,Ambatondrazaka,Alaotra Mangoro
Ambalabe 48 B,Bealanana IIi,Bealanana,Bealanana,Sofia
Ambalabe 49 B,Ambararata Sofia,Ambararata Sofia,Bealanana,Sofia
Ambalabe 50 B,Maroamalona,Maroamalona,Befandriana Nord,Sofia
Ambalabe 51 B,Ankarongana,Ankarongana,Befandriana Nord,Sofia
Ambalabe 52 B,Ranomainty,Mahatsara,Brickaville,Atsinanana
Ambalabe 53 B,,,,
Ambalabe 54 B,Manandriana Station,Matsondakana,Befandriana Nord,Sofia
Ambalabe 55 B,Ambalabe II,Mahanoro,Fenerive Est,Analanjirofo
Ambalabe 56 B,Antenina,Mahavelona (Foulpointe),Toamasina II,Atsinanana
Ambalabe 57 B,Ampihaonana,Toamasina Suburbaine,Toamasina II,Atsinanana
Ambalabe 58 B,Anove Sud,Manompana,Soanierana Ivongo,Analanjirofo
Ambalabe 59 C,Kondy,Antongo Vaovao,Morombe,Atsimo Andrefana
Ambalabe 60 C,Namatoa,Ambahikily,Morombe,Atsimo Andrefana
Ambalabe 61 C,Ambolosarike,Androka,Ampanihy Ouest,Atsimo Andrefana
Ambalabe 62 C,Ambalabe,Soaloka,Miandrivazo,Menabe
Ambalabe 63 C,Ambalabe,Beronono,Mahabo,Menabe
Ambalabe 64 C,Andriambola Est,Ambahita,Bekily,Androy
Ambalabe 65 C,Ambaravaranala,Fierenana,Tsiroanomandidy,Bongolava
Ambalabe 66 C,Amby,Mahazina Ambohipierenana,Ambositra,Amoron I Mania
Ambalabe 67 C,Ambaibo,Mahazoarivo,Isandra,Haute Matsiatra
Ambalabe 68 C,Ambalamirary,Vohimarina,Vohibato,Haute Matsiatra
Ambalabe 69 C,Andriana,Fiadanana,Fandriana,Amoron I Mania
Ambalabe 70 C,Ambalabe Anteza,Ambalakely,Lalangina,Haute Matsiatra
Ambalabe 71 C,Miandrifekona,Ambalakely,Lalangina,Haute Matsiatra
Ambalabe 72 C,Ankadivoribe Faravohitra,Ambatofahavalo,Antananarivo Atsimondrano,Analamanga
Ambalabe 73 C,Ambalabe M,Ambatosia,Bealanana,Sofia
Ambalabe 74 C,Belefitra,Tsarajomoka,Mandritsara,Sofia
Ambalabe 75 C,Tsaratampona I,Ambatoharanana,Fenerive Est,Analanjirofo
Ambalabe 76 C,Mahatsara,Amboditandroroho,Toamasina II,Atsinanana
Ambalabe 77 D,Androbotsiabo,Manja,Manja,Menabe
Ambalabe 78 D,Ankotrofotsy,Antsalova,Antsalova,Melaky
Ambalabe 79 D,Ambatolahitelo,Ambalamidera II,Isandra,Haute Matsiatra
Ambalabe 80 D,Mahatsanda,Talata Ampano,Vohibato,Haute Matsiatra
Ambalabe 81 D,Ambohibolamena,Andranovorivato,Vohibato,Haute Matsiatra
Ambalabe 82 D,Ampanazava,Ankazoambo,Ambositra,Amoron I Mania
Ambalabe 83 D,Andondona,Vohitrafeno,Vohibato,Haute Matsiatra
Ambalabe 84 D,Ambalabe Mahatsara,Mahatsinjo,Vondrozo,Atsimo Atsinanana
Ambalabe 85 D,Morafeno,Morafeno,Befandriana Nord,Sofia
Ambalabe 86 D,Antanifotsy Bevava,Ilafy,Ambatondrazaka,Alaotra Mangoro
Ambalabe 87 D,Ambarimilambana,Ampasimadinika Manambolo,Toamasina II,Atsinanana
Ambalabe 88 E,Agnadabo,Beharona,Manja,Menabe
Ambalabe 89 E,Ambalabe,Menamaty Iloto,Ihosy,Ihorombe
Ambalabe 90 E,Ambonivohitra,Morafeno,Arivonimamo,Itasy
Ambalabe 91 E,Ambalabe I,Ambatoharanana,Vavatenina,Analanjirofo
Ambalabe 92 F,Mahasoa,Ambodimangavalo,Vavatenina,Analanjirofo
Ambalabe 93 G,Antsiatsiaka,Betsako,Mahajanga II,Boeny
Ambalabe 94 A,Mahazoarivo,Ivondro,Midongy-Atsimo,Atsimo Atsinanana
Ambalabe 95 A,Milahila,Nosifeno,Midongy-Atsimo,Atsimo Atsinanana
Ambalabe 96 B,Iabomary,Ampasimalemy,Vangaindrano,Atsimo Atsinanana
Ambalabe 97 B,Betoko,Longozabe,Anosibe-An'ala,Alaotra Mangoro
Ambalabe 98 D,Andriambe,Antanamalaza,Ambatolampy,Vakinankaratra
Ambalabe 99 D,Andriambe,Antanamalaza,Ambatolampy,Vakinankaratra
Ambalabe Ifasina 10 A,Ambalaben'ifasina,Marotandrano,Mandritsara,Sofia
Ambalabeakondro 10 A,Tsimamaliavona,Fenoarivo,Ambatofinandrahana,Amoron I Mania
Ambalaboahangy 10 A,Sandraka,Anivorano Est,Brickaville,Atsinanana
Ambalaboka 10 A,Andriambe,Soavary,Taolagnaro,Anosy
Ambalabongo 10 C,Ambalabongo,Ambalanjanakomby,Maevatanana,Betsiboka
Ambalabongo 11 V,Ambalabongo,Anosinalainolona,Marovoay,Boeny
Ambaladabo 10 C,Masiakomby,Kalandy,Mandritsara,Sofia
Ambaladara 10 A,Ambaladara,Marokarima,Mananjary,Vatovavy Fitovinany
Ambaladara 11 F,Mahatsinjo,Nosy Varika,Nosy-Varika,Vatovavy Fitovinany
Ambaladaro 10 C,Betaimbala,Isoanala,Betroka,Anosy
Ambaladera 10 C,Antetezantany,Matsondakana,Befandriana Nord,Sofia
Ambaladianana 10 D,Ambaladingana,Kelilalina,Ifanadiana,Vatovavy Fitovinany
Ambaladimy 10 B,Riambary,Alakamisy Itenina,Vohibato,Haute Matsiatra
Ambaladingana 10 A,Tanambao,Moroteza,Vondrozo,Atsimo Atsinanana
Ambaladingana 11 A,Ambaladingana,Ambinanindrano,Ambositra,Amoron I Mania
Ambaladingana 12 A,Volosy,Vohipaho,Vangaindrano,Atsimo Atsinanana
Ambaladingana 13 B,Tanambao Matirano,Ranomena,Vangaindrano,Atsimo Atsinanana
Ambaladoaka 10 C,Tsarahasina,Manohisoa,Betafo,Vakinankaratra
Ambaladobaka B 10,Manambaro,Bevata,Vangaindrano,Atsimo Atsinanana
Ambaladoda 10 B,Ambaladoda,Itampolo,Ampanihy Ouest,Atsimo Andrefana
Ambalafaary A 10,Ampasimbola II,Vohipeno,Fenerive Est,Analanjirofo
Ambalafahibato 10 B,Fatakanina,Andrainjato Est,Lalangina,Haute Matsiatra
Ambalafahibato 11 C,Anjanamahasoa Andrefana,Alakamisy Itenina,Vohibato,Haute Matsiatra
Ambalafalaka 10 I,Ambalafatakana,Ambalarondra,Brickaville,Atsinanana
Ambalafamafa 10 B,Ambalafamafa,Nosy Varika,Nosy-Varika,Vatovavy Fitovinany
Ambalafamainty 10 G,Ambalafaminty,Maroala,Antsohihy,Sofia
Ambalafamba 10 B,Marangibato,Tsarajomoka,Mandritsara,Sofia
Ambalafamofo 10 A,Fiadanana,Vohilava,Nosy-Varika,Vatovavy Fitovinany
Ambalafamoriana 10 B,Ilanjana,Ambatomarina,Manandriana,Amoron I Mania
Ambalafampana 10 A,Sahavatoana,Ambatofinandrahana,Ambatofinandrahana,Amoron I Mania
Ambalafampona 10 D,Anjorozoro,Mangidy,Ikalamavony,Haute Matsiatra
Ambalafananarana 10 E,Manampy,Iarintsena,Ambalavao,Haute Matsiatra
Ambalafandra 10 A,,,,
Ambalafandra 11 A,,,,
Ambalafandra 12 B,Vondrony,Analaliry,Ihosy,Ihorombe
Ambalafandra 13 B,Mahabe,Vangaindrano,Vangaindrano,Atsimo Atsinanana
Ambalafandrambato 10 C,Ambalafandrambato,Talata Ampano,Vohibato,Haute Matsiatra
Ambalafandrana 10 B,Ambodiriana I,Betaramahamay,Mampikony,Sofia
Ambalafandrana 11 C,Ambalafandrana,Ambohimilanja,Marolambo,Atsinanana
Ambalafandrana 12 C,Ambalafandrana,Ambalavolo,Vatomandry,Atsinanana
Ambalafano 10 B,Ambohitrananana,Mahaiza,Betafo,Vakinankaratra
Ambalafanovana 10 D,Ambalafanovana,Ambondrona,Isandra,Haute Matsiatra
Ambalafantsy 10 D,Bemangahazo,Mahanoro,Mahanoro,Atsinanana
Ambalafany 10 A,Besara,Masoarivo,Antsalova,Melaky
Ambalafapana 10 C,Vohihambana Somaina,Andranovorivato,Vohibato,Haute Matsiatra
Ambalafara 10 V,Antsatramira,Marovoay Ville,Marovoay,Boeny
Ambalafarana 10 A,Ambohimisafy,Androrangavola,Ifanadiana,Vatovavy Fitovinany
Ambalafarihy 10 A,Soaniherenana Nord,Ambohimanga Du Sud,Ifanadiana,Vatovavy Fitovinany
Ambalafarihy 11 A,Ambalafarihy,Marolambo,Marolambo,Atsinanana
Ambalafarihy 12 A,Ambodivandrika,Sahavato,Nosy-Varika,Vatovavy Fitovinany
Ambalafarihy 13 B,Ambalafarihy,Antsirabe Centre,Mandritsara,Sofia
Ambalafarihy 14 C,Ambalafarihy,Ambatofisaka II,Marolambo,Atsinanana
Ambalafary 10 A,Bemahatazana,Bemahatazana,Miandrivazo,Menabe
Ambalafary 11 A,Ambalafary,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Ambalafary 12 A,Vohitrevo,Mavorano,Manakara Atsimo,Vatovavy Fitovinany
Ambalafary 13 A,,,,
Ambalafary 14 A,Ambodimanga,Marolambo,Marolambo,Atsinanana
Ambalafary 15 A,Ambakobe,Ambakobe,Nosy-Varika,Vatovavy Fitovinany
Ambalafary 16 A,Ambinanirano,Vohidroa,Nosy-Varika,Vatovavy Fitovinany
Ambalafary 17 A,Ambodimanga II,Ambodilafa,Nosy-Varika,Vatovavy Fitovinany
Ambalafary 18 A,Tsararano,Antsenavolo,Mananjary,Vatovavy Fitovinany
Ambalafary 19 A,Marohita I,Ankatafana,Mananjary,Vatovavy Fitovinany
Ambalafary 20 A,Ambohimiarina I,Tsiatosika,Mananjary,Vatovavy Fitovinany
Ambalafary 21 A,Mahatsara I,Fiadanana,Nosy-Varika,Vatovavy Fitovinany
Ambalafary 22 A,Ambodihasina,Andrebakely Nord,Amparafaravola,Alaotra Mangoro
Ambalafary 23 A,Ambalatenina Atsimo,Fetraomby,Brickaville,Atsinanana
Ambalafary 24 A,Ambodisikidy,Ambolidibe Est,Befandriana Nord,Sofia
Ambalafary 25 A,Ampatsy,Andasibe,Vavatenina,Analanjirofo
Ambalafary 26 A,Andranoambolava,Anjahamana,Brickaville,Atsinanana
Ambalafary 27 A,Tanambao I,Ampasina Maningory,Fenerive Est,Analanjirofo
Ambalafary 28 A,Rokalava,Andondabe,Toamasina II,Atsinanana
Ambalafary 29 B,Bemahatazana,Bemahatazana,Miandrivazo,Menabe
Ambalafary 30 B,Bekapila,Tsinjomitondraka,Port-Berge (Boriziny-Vaovao),Sofia
Ambalafary 31 B,Ambodivandrika,Antaretra,Mananjary,Vatovavy Fitovinany
Ambalafary 32 B,Maromandia,Marokarima,Mananjary,Vatovavy Fitovinany
Ambalafary 33 B,Manakana Tsiangaly,Ambohimiarina II,Mananjary,Vatovavy Fitovinany
Ambalafary 34 B,Ambohimanana,Ambohimanana,Brickaville,Atsinanana
Ambalafary 35 B,Andranoampotatra,Ambodivoananto,Vatomandry,Atsinanana
Ambalafary 36 B,Tetezambolo,Iamborano,Vatomandry,Atsinanana
Ambalafary 37 B,Anivorano II,Anivorano Nord,Antsiranana II,Diana
Ambalafary 38 B,Ampasimalaza,Miarinarivo,Vavatenina,Analanjirofo
Ambalafary 39 B,Ambokarivo,Amboditandroroho,Toamasina II,Atsinanana
Ambalafary 40 C,Ambalafary,Bekatra,Manakara Atsimo,Vatovavy Fitovinany
Ambalafary 41 C,Ambodiriana,Ampasimpotsy Gara,Moramanga,Alaotra Mangoro
Ambalafary 42 C,Ambalafary,Kalandy,Mandritsara,Sofia
Ambalafary 43 D,Ambalafary,Fetraomby,Brickaville,Atsinanana
Ambalafary 44 D,Ambalafary,Mahambo,Fenerive Est,Analanjirofo
Ambalafary 45 D,Ambohimanarivo,Mahavelona (Foulpointe),Toamasina II,Atsinanana
Ambalafary 46 E,Ambalafary,Bekapaika,Tsaratanana,Betsiboka
Ambalafary 47 F,Ambalafary,Maevatanana,Ambanja,Diana
Ambalafary 48 F,Ambalafary,Tsarahonenana,Befandriana Nord,Sofia
Ambalafary 49 F,Antanambao,Ambodivoara,Sambava,Sava
Ambalafary 50 G,Tsarahafatra,Tsiatosika,Mananjary,Vatovavy Fitovinany
Ambalafary 51 A,Iabofotaka,Maropaika,Ivohibe,Ihorombe
Ambalafary 52 A,Ambodiampaly,Ampasimbe Manantsatrana,Fenerive Est,Analanjirofo
Ambalafary 53 A,Bevovonana,Andapafito,Soanierana Ivongo,Analanjirofo
Ambalafary 54 A,Antanjona,Marokarima,Mananjary,Vatovavy Fitovinany
Ambalafary 55 A,Nosifeno,Nosifeno,Midongy-Atsimo,Atsimo Atsinanana
Ambalafary 56 B,Ambalafary,Sahavato,Nosy-Varika,Vatovavy Fitovinany
Ambalafary 57 B,Mizahamiorika,Ankazotsifantatra,Mahanoro,Atsinanana
Ambalafary 58 D,Zafindramana,Antokonala,Vondrozo,Atsimo Atsinanana
Ambalafary 59 E,Antanambao I,Ambodiara,Nosy-Varika,Vatovavy Fitovinany
Ambalafary I 60 B,Ambodibonara,Ampasimbe Manantsatrana,Fenerive Est,Analanjirofo
Ambalafary I 61 D,Ambalafary,Marosangy,Mananjary,Vatovavy Fitovinany
Ambalafary II 62 A,Antaramasoandro,Morafeno,Mananjary,Vatovavy Fitovinany
Ambalafasina 10 A,Ambodipaiso,Ambohimisafy,Ikongo,Vatovavy Fitovinany
Ambalafasina 11 B,Ambodifontsina,Androrangavola,Ifanadiana,Vatovavy Fitovinany
Ambalafasina 12 B,Ambalafasina,Androrangavola,Ifanadiana,Vatovavy Fitovinany
Ambalafasina 13 C,Ambodimanga Est,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Ambalafasina 14 D,Soanierana,Solila,Ikalamavony,Haute Matsiatra
Ambalafasy 10 A,Menaretry,Vohipaho,Vangaindrano,Atsimo Atsinanana
Ambalafasy 11 C,Niarovana,Tsivangiana,Vatomandry,Atsinanana
Ambalafataka 10 A,Ambinanindrano II,Angodongodona,Nosy-Varika,Vatovavy Fitovinany
Ambalafataka 11 B,Ihazomena,Kalafotsy,Ikongo,Vatovavy Fitovinany
Ambalafataka Est 10 E,Ambalafatakana Est,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Ambalafatakana B 10,Ambalafatakana,Ambodirian'i Sahafary,Nosy-Varika,Vatovavy Fitovinany
Ambalafataka-Nord 10 A,Ambohimita,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Ambalafatatra B 10,Andranomiditra,Antsiatsiaka,Fenerive Est,Analanjirofo
Ambalafatsy 10 B,Iara,Iara,Vangaindrano,Atsimo Atsinanana
Ambalafatsy 11 D,Manerinerina,Andovoranto,Brickaville,Atsinanana
Ambalafatsy 12 A,Ambalafatsy,Ambinanidilana,Mahanoro,Atsinanana
Ambalafefy 10 A,Ambalafefy,Tanibe,Mananara-Avaratra,Analanjirofo
Ambalafemba 10 A,Ankisingy,Antsakabary,Befandriana Nord,Sofia
Ambalafeno 10 A,Soanierana,Ambohimasina,Betafo,Vakinankaratra
Ambalafeno 11 A,Sakelo,Andrembesoa,Betafo,Vakinankaratra
Ambalafeno 12 A,Ambalafeno Namboarina,Isaka,Ambohimahasoa,Haute Matsiatra
Ambalafeno 13 A,Beampy,Ambatoharanana,Fenerive Est,Analanjirofo
Ambalafeno 14 B,Ambalafeno,Fidirana,Mandoto,Vakinankaratra
Ambalafeno 15 B,Anosiarivo Ambatofotsy,Anosiarivo Manapa,Betafo,Vakinankaratra
Ambalafeno 16 B,Ambohimalaza,Mahaiza,Betafo,Vakinankaratra
Ambalafeno 17 B,Ambalafeno Namboarina,Isaka,Ambohimahasoa,Haute Matsiatra
Ambalafeno 18 B,Ankaromalaza Ouest,Ankaromalaza Mifanasoa,Vohibato,Haute Matsiatra
Ambalafeno 19 C,Mahatsinjo Mampihavana,Faratsiho,Faratsiho,Vakinankaratra
Ambalafeno 20 C,Mahasoa,Manandona,Antsirabe II,Vakinankaratra
Ambalafeno 21 C,Ambohipaly,Ambatomifanongoa,Ambatofinandrahana,Amoron I Mania
Ambalafeno 22 C,Tomboarivo,Ambondromisotra,Ambatofinandrahana,Amoron I Mania
Ambalafeno 23 C,Ambohipananana,Sandrandahy,Fandriana,Amoron I Mania
Ambalafeno 24 D,Tsaramody Ambalafeno,Mandrosohasina,Antsirabe II,Vakinankaratra
Ambalafeno 25 V,Zanaposa,Tsarasaotra,Ambositra,Amoron I Mania
Ambalafenoarivo 10 B,Ambava,Fitampito,Ikalamavony,Haute Matsiatra
Ambalafenoarivo 11 C,Vasiana,Vasiana,Mandoto,Vakinankaratra
